"kind","name","parent","detail"
"example","warfarin_logit_f","",""
"example","warfarin_ltbs","",""
"example","warfarin_ode","",""
"example","warfarin_ode_lagtime","",""
"example","warfarin_ode_time","",""
"example","warfarin_saem","",""
"example","warfarin_scaled","",""
"example","warfarin_sde","",""
"example","warfarin_ss","",""
"example","weibull_absorption","",""
"example","zero_order_absorption","",""
"searchfile","one_cpt_transit","",""
"searchfile","two_cpt_oral_base","",""
"searchfile","two_cpt_oral_cov","",""
"searchfile","warfarin","",""
"setting","maxiter","ferx_fit",""
"setting","inner_maxiter","ferx_fit",""
"setting","inner_tol","ferx_fit",""
"setting","inner_restarts","ferx_fit",""
"setting","cov_inner_tol","ferx_fit",""
"setting","outer_xtol","ferx_fit",""
"setting","outer_ftol","ferx_fit",""
"setting","ode_reltol","ferx_fit",""
"setting","ode_abstol","ferx_fit",""
"setting","ode_max_steps","ferx_fit",""
"setting","ode_stiff_abort_after","ferx_fit",""
"setting","ode_auto_switch","ferx_fit",""
"setting","ode_method","ferx_fit",""
"setting","analytic_cov_hessian","ferx_fit",""
"setting","covariance_fallback","ferx_fit",""
"setting","covariance_method","ferx_fit",""
"setting","fd_hessian_step","ferx_fit",""
"setting","optimizer","ferx_fit",""
"setting","inner_optimizer","ferx_fit",""
"setting","steihaug_max_iters","ferx_fit",""
"setting","global_search","ferx_fit",""
"setting","global_maxeval","ferx_fit",""
"setting","n_exploration","ferx_fit",""
"setting","n_convergence","ferx_fit",""
"setting","n_mh_steps","ferx_fit",""
"setting","n_leapfrog","ferx_fit","aliases: saem_n_leapfrog"
"setting","adapt_interval","ferx_fit",""
"setting","mstep_damping","ferx_fit","aliases: saem_mstep_damping"
"setting","omega_burnin","ferx_fit",""
"setting","conddist","ferx_fit","aliases: saem_conddist"
"setting","conddist_nsamp","ferx_fit",""
"setting","conddist_burnin","ferx_fit",""
"setting","conddist_keep_samples","ferx_fit",""
"setting","seed","ferx_fit","aliases: saem_seed"
"setting","bayes_warmup","ferx_fit",""
"setting","bayes_iters","ferx_fit",""
"setting","bayes_chains","ferx_fit",""
"setting","bayes_thin","ferx_fit",""
"setting","bayes_seed","ferx_fit",""
"setting","vi_iters","ferx_fit",""
"setting","vi_mc_samples","ferx_fit",""
"setting","vi_lr","ferx_fit",""
"setting","vi_grad_clip","ferx_fit",""
"setting","vi_family","ferx_fit",""
"setting","vi_sigma_update","ferx_fit",""
"setting","vi_omega_update","ferx_fit",""
"setting","vi_avg_last","ferx_fit",""
"setting","vi_eta_grad","ferx_fit",""
"setting","vi_kl","ferx_fit",""
"setting","vi_final_ofv","ferx_fit",""
"setting","vi_seed","ferx_fit",""
"setting","gn_lambda","ferx_fit",""
"setting","nn_l2","ferx_fit",""
"setting","nn_smooth","ferx_fit",""
"setting","sir_samples","ferx_fit",""
"setting","sir_resamples","ferx_fit",""
"setting","sir_seed","ferx_fit",""
"setting","sir_keep_samples","ferx_fit",""
"setting","sir_df","ferx_fit",""
"setting","n_agq","ferx_fit",""
"setting","imp_samples","ferx_fit",""
"setting","imp_proposal_df","ferx_fit",""
"setting","imp_seed","ferx_fit",""
"setting","imp_low_ess_threshold","ferx_fit",""
"setting","imp_iterations","ferx_fit",""
"setting","imp_averaging","ferx_fit",""
"setting","imp_eval_only","ferx_fit",""
"setting","agq_eval_only","ferx_fit",""
"setting","impmap_iterations","ferx_fit",""
"setting","impmap_samples","ferx_fit",""
"setting","impmap_proposal_df","ferx_fit",""
"setting","impmap_seed","ferx_fit",""
"setting","impmap_averaging","ferx_fit",""
"setting","impmap_low_ess_threshold","ferx_fit",""
"setting","impmap_trace","ferx_fit",""
"setting","impmap_mceta","ferx_fit",""
"setting","impmap_sobol","ferx_fit",""
"setting","frem_rao_blackwell","ferx_fit",""
"setting","imp_auto","ferx_fit",""
"setting","impmap_auto","ferx_fit",""
"setting","iscale_min","ferx_fit",""
"setting","iscale_max","ferx_fit",""
"setting","imp_defensive_alpha","ferx_fit","aliases: impmap_defensive_alpha"
"setting","npde_nsim","ferx_fit",""
"setting","npde_seed","ferx_fit",""
"setting","mu_referencing","ferx_fit",""
"setting","n_starts","ferx_fit",""
"setting","start_sigma","ferx_fit",""
"setting","multi_start_seed","ferx_fit",""
"setting","iov_column","ferx_fit",""
"setting","iov_occasion","ferx_fit",""
"setting","optimizer_trace","ferx_fit",""
"setting","reconverge_gradient_interval","ferx_fit",""
"setting","scale_params","ferx_fit",""
"setting","parameter_scaling","ferx_fit",""
"setting","max_unconverged_frac","ferx_fit",""
"setting","min_obs_for_convergence_check","ferx_fit",""
"setting","stagnation_guard","ferx_fit",""
"setting","ebe_warm_start","ferx_fit",""
"setting","inits_from_nca","ferx_fit",""
"setting","ignore","ferx_fit",""
"setting","accept","ferx_fit",""
"setting","ignore_subjects","ferx_fit",""
"setting","frem_predictions","ferx_fit",""
"setting","frem_sigma","ferx_fit",""
"setting","checkpoint","ferx_fit",""
"setting","checkpoint_interval_secs","ferx_fit",""
"dsl_block","adaptive_dosing","",""
"dsl_block","binary_model","","feature: survival"
"dsl_block","covariate_model","",""
"dsl_block","covariate_nn","",""
"dsl_block","covariates","",""
"dsl_block","data","",""
"dsl_block","data_selection","",""
"dsl_block","derived","",""
"dsl_block","diffusion","",""
"dsl_block","error_model","",""
"dsl_block","event_model","","feature: survival"
"dsl_block","fit_options","",""
"dsl_block","individual_parameters","",""
"dsl_block","initial_conditions","",""
"dsl_block","markov_model","","feature: markov"
"dsl_block","mixture","",""
"dsl_block","odes","",""
"dsl_block","output","",""
"dsl_block","parameters","",""
"dsl_block","scaling","",""
"dsl_block","simulation","",""
"dsl_block","structural_model","",""
"data_column","ID","",""
"data_column","TIME","",""
"data_column","DV","",""
"data_column","EVID","",""
"data_column","AMT","",""
"data_column","CMT","",""
"data_column","RATE","",""
"data_column","MDV","",""
"data_column","II","",""
"data_column","SS","",""
"data_column","CENS","",""
"data_column","ADDL","",""
"data_column","TENTRY","",""
"data_column","FREMTYPE","",""
